TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
ATCR11;0,00;0,280224;0,00;67,82;;;1,30;;;63.001.424,91;33,00;Ativa;928.908,00
ATSA11;49,01;0,530000;4,94;76,73;0,64;815,67;2,37;19,43;-16,25;134.363.358,54;303,00;Passiva;1.751.141,00
ATWN11;0,00;;0,00;2.097,33;;;1,06;;;337.161.064,34;2,00;Ativa;160.757,00
AURB11;72,80;0,200000;0,00;72,58;1,00;5.147.062,00;13,00;;;65.213.253,54;19,00;Ativa;898.514,00
AZPE11;0,00;0,830000;0,00;10,69;;;0,64;;;133.607.130,12;7,00;Ativa;12.500.000,00
AZPL11;7,56;0,090000;13,21;9,77;0,77;454.072,36;1,31;;;177.926.752,72;6.973,00;Ativa;18.209.646,00
BARI11;78,95;1,050000;13,54;91,35;0,86;876.151,00;2,68;-3,02;4,49;423.333.007,30;35.148,00;Ativa;4.634.191,00
BBFI11;379,10;100,414494;0,00;701,69;0,54;51.270,82;31,00;1,24;-39,75;91.220.257,21;6.336,00;Passiva;130.000,00
BBFO11;63,15;0,780000;12,94;74,97;0,84;190.308,50;0,18;-1,23;8,22;300.154.156,40;6.958,00;Passiva;4.003.900,00
BBIG11;7,10;0,080000;14,11;9,44;0,75;712.179,64;8,08;;;935.951.051,06;31.432,00;Ativa;99.120.994,00
BBIM11;0,00;0,340000;0,00;0,00;;;;-24,05;;0,00;0,00;Ativa;0,00
BBRC11;99,50;1,000000;12,96;105,03;0,95;86.150,64;5,32;2,10;13,42;167.002.549,01;9.158,00;Passiva;1.590.000,00
BCFF11;7,28;0,070000;4,81;8,76;0,83;0,00;6,73;1,07;-1,51;1.766.025.679,12;351.688,00;Ativa;201.491.024,00
BCIA11;84,69;0,840000;12,14;99,22;0,85;473.314,41;0,18;3,69;12,24;369.009.837,98;23.399,00;Ativa;3.719.038,00
BCRI11;66,04;0,850000;14,63;86,59;0,76;473.271,82;0,72;-4,27;-3,10;541.846.352,43;43.432,00;Ativa;6.257.873,00
BETW11;0,00;0,462963;0,00;105,22;;;0,36;;;263.516.302,81;2,00;;2.504.500,00
BGRB11;100,50;1,303240;7,65;92,89;1,08;126.753,00;13,55;;;153.318.587,89;272,00;Ativa;1.650.625,00
BICE11;899,00;3,570000;7,69;1.059,33;0,85;109.005,50;1,18;-21,92;;141.328.928,01;118,00;Ativa;133.414,00
BICR11;35,92;0,363000;3,24;41,61;0,86;72,00;3,33;-18,17;-28,95;20.805.910,51;641,00;Ativa;500.000,00
BIME11;7,19;0,090000;14,76;8,40;0,86;60.215,59;1,77;0,35;4,67;49.114.285,42;8.537,00;Ativa;5.845.602,00
BINR11;1.673,35;;0,00;1.067,31;1,57;0,00;10,13;;;126.727.395,73;103,00;Ativa;118.735,00
BIPD11;915,10;21,190000;2,32;987,16;0,93;0,00;4,94;;;109.020.489,19;111,00;Ativa;110.439,00
BIPE11;1.000,00;;0,00;979,08;1,02;0,00;19,25;;;41.723.498,93;103,00;Ativa;42.615,00
BLCA11;96,50;0,500000;6,27;129,14;0,75;222.594,06;3,63;-3,46;11,59;206.618.998,35;476,00;Ativa;1.600.000,00
BLCP11;91,00;0,563428;0,00;63,81;1,43;;3,50;;1,98;118.155.565,38;8.102,00;;1.851.786,00
BLMC11;85,75;1,070000;0,00;63,81;1,34;;3,50;-0,67;-1,56;118.155.565,38;8.102,00;;1.851.786,00
BLMG11;39,30;0,350000;9,54;70,48;0,56;662.543,95;0,14;-18,98;-8,70;300.879.899,22;13.205,00;Ativa;4.268.807,00
BLMO11;83,99;0,580000;6,93;104,98;0,80;25.114,33;2,84;-79,18;;104.439.245,82;341,00;Ativa;994.814,00
