TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
TXRX4;1,96;;-0,19;-0,02;0,05;19,79;2,57;-37,23;2,69;112,59;106,73;;0,07;-0,05;-0,08;0,27;-12,15;-25,96;-7,82;-2,14;3,14;0,70;2,30;;7.847,76;-84,66;-10,29;0,00;17.734.240,48
UCAS3;1,47;12,19;23,32;0,53;0,25;35,73;-2,08;1,90;-21,26;-33,75;-12,49;0,31;0,44;3,40;-0,37;1,30;2,26;1,08;-3,39;0,48;0,52;0,57;8,69;-25,16;123.272,47;2,82;0,06;-0,33;98.468.682,36
UGPA3;17,63;3,95;8,74;1,30;0,52;7,16;3,51;1,66;4,13;6,70;2,57;0,81;0,15;3,15;-0,85;1,76;14,90;6,00;10,55;0,40;0,58;3,61;8,37;43,39;100.812.742,89;13,62;2,03;-0,66;19.789.097.408,68
UNIP3;53,19;8,61;9,25;2,27;0,83;27,93;13,55;11,55;7,89;9,67;1,27;0,37;1,07;3,80;-1,36;2,24;24,57;8,94;10,37;0,36;0,63;0,77;12,24;30,27;237.671,11;23,41;5,75;0,92;6.415.100.890,24
UNIP5;56,00;4,89;9,74;2,39;0,87;27,93;13,55;11,55;8,30;9,67;1,27;0,37;1,12;4,00;-1,43;2,24;24,57;8,94;10,37;0,36;0,63;0,77;12,24;30,27;13.870,41;23,41;5,75;0,97;6.415.100.890,24
UNIP6;58,52;8,61;10,17;2,50;0,91;27,93;13,55;11,55;8,68;9,67;1,27;0,37;1,18;4,18;-1,50;2,24;24,57;8,94;10,37;0,36;0,63;0,77;12,24;30,27;6.708.394,47;23,41;5,75;1,02;6.415.100.890,24
USIM3;5,46;;48,60;0,28;0,17;7,67;3,04;0,53;8,46;10,03;1,55;0,05;0,26;0,49;-0,30;4,26;0,58;0,34;2,08;0,59;0,34;0,65;11,59;-8,00;2.084.171,26;19,29;0,11;-0,58;6.840.237.507,08
USIM5;5,49;;48,78;0,28;0,17;7,67;3,04;0,53;8,49;10,03;1,55;0,05;0,26;0,49;-0,31;4,26;0,58;0,34;2,08;0,59;0,34;0,65;11,59;-8,00;71.409.615,68;19,29;0,11;-0,58;6.840.237.507,08
USIM6;8,03;;74,99;0,44;0,26;7,67;3,04;0,53;13,06;10,03;1,55;0,05;0,40;0,75;-0,47;4,26;0,58;0,34;2,08;0,59;0,34;0,65;11,59;-8,00;109,60;19,29;0,11;-0,90;6.840.237.507,08
VALE3;55,34;8,60;7,98;1,24;0,52;35,45;25,35;14,88;4,68;5,99;1,31;0,35;1,19;30,09;-0,64;1,11;15,57;6,57;15,96;0,42;0,56;0,44;7,33;;914.844.902,05;44,52;6,93;-0,43;251.097.899.325,60
VAMO3;4,51;5,95;15,94;1,96;0,22;68,12;59,59;7,10;1,90;6,54;4,64;4,78;1,13;1,79;-0,30;1,86;12,29;1,36;12,55;0,11;0,89;0,19;31,14;16,62;62.023.205,89;2,30;0,28;-0,32;4.875.456.741,87
VBBR3;19,59;9,10;3,54;1,07;0,35;4,77;4,93;3,49;2,51;4,89;2,39;1,02;0,12;1,74;-0,60;1,94;30,13;9,95;14,25;0,33;0,66;2,85;12,65;22,87;188.294.247,53;18,37;5,53;0,27;21.921.210.000,00
